"ANO4"|"TRIMESTRE"|"AGLOMERADO"|"CH04"|"CH06"|"ESTADO"|"CAT_OCUP"|"NIVEL_ED"|"P21"|"TOT_P12"
"1"|2015|2|2|2|41|3|0|4|0|0
"2"|2015|2|2|1|46|1|3|3|6000|0
"3"|2015|2|2|2|26|1|3|4|5000|0
"4"|2015|2|2|1|47|1|3|4|5000|0
"5"|2015|2|2|1|1|4|0|7|0|0
"6"|2015|2|2|2|58|3|0|2|0|0
"7"|2015|2|2|1|52|1|3|2|6500|4500
"8"|2015|2|2|2|16|3|0|3|0|0
"9"|2015|2|2|1|15|3|0|3|0|0
"10"|2015|2|2|1|45|1|3|2|9500|0
"11"|2015|2|2|2|39|3|0|4|0|0
"12"|2015|2|2|1|15|3|0|3|0|0
"13"|2015|2|2|1|59|3|0|3|0|0
"14"|2015|2|2|2|38|1|3|6|6000|0
"15"|2015|2|2|1|3|4|0|7|0|0
"16"|2015|2|2|1|40|1|3|4|8000|1000
"17"|2015|2|2|2|36|3|0|4|0|0
"18"|2015|2|2|1|15|3|0|3|0|0
"19"|2015|2|2|1|13|3|0|3|0|0
"20"|2015|2|2|2|11|3|0|1|0|0
"21"|2015|2|2|2|75|3|0|2|0|0
"22"|2015|2|2|2|53|1|3|1|3800|0
"23"|2015|2|2|1|24|1|3|1|1000|2800
"24"|2015|2|2|1|15|3|0|3|0|0
"25"|2015|2|2|2|44|1|3|4|10000|0
"26"|2015|2|2|1|7|4|0|1|0|0
"27"|2015|2|2|2|72|1|1|2|4500|0
"28"|2015|2|2|1|40|1|3|4|4900|0
"29"|2015|2|2|2|43|1|2|5|11000|0
"30"|2015|2|2|2|4|4|0|7|0|0
"31"|2015|2|2|1|75|3|0|4|0|0
"32"|2015|2|2|1|47|1|3|5|9000|0
"33"|2015|2|2|2|40|1|3|2|1500|2000
"34"|2015|2|2|1|40|1|3|3|8000|0
"35"|2015|2|2|1|15|3|0|3|0|0
"36"|2015|2|2|2|7|4|0|1|0|0
"37"|2015|2|2|2|2|4|0|7|0|0
"38"|2015|2|2|2|55|3|0|1|0|0
"39"|2015|2|2|1|43|1|2|1|2500|0
"40"|2015|2|2|1|18|3|0|3|0|0
"41"|2015|2|2|1|16|3|0|3|0|0
"42"|2015|2|2|2|13|3|0|3|0|0
"43"|2015|2|2|2|44|3|0|4|0|0
"44"|2015|2|2|1|43|1|3|2|7500|0
"45"|2015|2|2|1|11|3|0|7|0|0
"46"|2015|2|2|2|2|4|0|7|0|0
"47"|2015|2|2|1|42|1|2|3|5000|0
"48"|2015|2|2|2|29|1|2|2|5000|0
"49"|2015|2|2|2|7|4|0|1|0|0
"50"|2015|2|2|1|84|3|0|2|0|0
"51"|2015|2|2|2|44|1|3|6|7000|0
"52"|2015|2|2|1|25|1|3|4|6500|0
"53"|2015|2|2|1|48|1|3|3|3000|0
"54"|2015|2|2|1|19|1|3|5|2000|0
"55"|2015|2|2|1|53|1|3|3|8500|0
"56"|2015|2|2|2|47|1|3|2|4500|0
"57"|2015|2|2|2|25|3|0|4|0|0
"58"|2015|2|2|2|18|3|0|3|0|0
"59"|2015|2|2|2|14|3|0|3|0|0
"60"|2015|2|2|2|40|1|3|2|7200|0
"61"|2015|2|2|1|16|3|0|3|0|0
"62"|2015|2|2|2|55|2|3|2|0|0
"63"|2015|2|2|1|54|1|3|2|4800|0
"64"|2015|2|2|1|15|3|0|3|0|0
"65"|2015|2|2|2|37|1|3|3|2200|500
"66"|2015|2|2|1|37|1|3|3|3000|0
"67"|2015|2|2|1|15|3|0|3|0|0
"68"|2015|2|2|2|11|3|0|1|0|0
"69"|2015|2|2|2|43|3|0|4|0|0
"70"|2015|2|2|1|40|1|3|2|10000|0
"71"|2015|2|2|1|12|3|0|3|0|0
"72"|2015|2|2|2|18|3|0|5|0|0
"73"|2015|2|2|1|49|1|2|2|3000|0
"74"|2015|2|2|2|47|1|2|4|5000|0
"75"|2015|2|2|2|23|3|0|5|0|0
"76"|2015|2|2|2|21|3|0|3|0|0
"77"|2015|2|2|2|27|3|0|4|0|0
"78"|2015|2|2|1|37|1|3|2|6900|0
"79"|2015|2|2|2|39|1|3|6|6000|0
"80"|2015|2|2|1|8|4|0|1|0|0
"81"|2015|2|2|1|18|3|0|3|0|0
"82"|2015|2|2|2|51|3|0|3|0|0
"83"|2015|2|2|1|22|3|0|4|0|0
"84"|2015|2|2|2|24|3|0|4|0|0
"85"|2015|2|2|1|56|1|3|3|5000|0
"86"|2015|2|2|2|48|3|0|6|0|0
"87"|2015|2|2|1|47|1|3|6|16000|0
"88"|2015|2|2|2|76|3|0|2|0|0
"89"|2015|2|2|1|25|1|3|4|12000|0
"90"|2015|2|2|2|65|3|0|2|0|0
"91"|2015|2|2|1|68|3|0|3|0|0
"92"|2015|2|2|2|37|1|3|3|6000|0
"93"|2015|2|2|1|43|1|3|4|10000|0
"94"|2015|2|2|2|42|3|0|6|0|0
"95"|2015|2|2|1|21|1|3|4|8000|0
"96"|2015|2|2|2|15|3|0|3|0|0
"97"|2015|2|2|1|63|1|2|2|7000|0
"98"|2015|2|2|2|56|1|3|2|8000|0
"99"|2015|2|2|2|49|3|0|4|0|0
"100"|2015|2|2|2|70|3|0|6|0|0
"101"|2015|2|2|2|27|1|3|4|12000|0
"102"|2015|2|2|2|33|1|3|4|1300|2500
"103"|2015|2|2|1|14|3|0|3|0|0
"104"|2015|2|2|2|9|4|0|1|0|0
"105"|2015|2|2|2|6|4|0|7|0|0
"106"|2015|2|2|2|64|3|0|2|0|0
"107"|2015|2|2|2|63|3|0|2|0|0
"108"|2015|2|2|1|51|2|2|2|0|0
"109"|2015|2|2|2|84|3|0|2|0|0
"110"|2015|2|2|1|90|3|0|2|0|0
"111"|2015|2|2|1|29|1|3|6|13000|0
"112"|2015|2|2|2|28|3|0|6|0|0
"113"|2015|2|2|2|73|3|0|4|0|0
"114"|2015|2|2|2|65|3|0|4|0|0
"115"|2015|2|2|1|36|1|3|6|14000|0
"116"|2015|2|2|2|33|1|3|6|6000|500
"117"|2015|2|2|1|5|4|0|7|0|0
"118"|2015|2|2|1|55|1|3|2|13000|0
"119"|2015|2|2|2|63|3|0|1|0|0
"120"|2015|2|2|2|22|3|0|1|0|0
"121"|2015|2|2|2|70|3|0|4|0|0
"122"|2015|2|2|1|51|1|3|5|16000|3000
"123"|2015|2|2|2|51|1|3|6|7000|0
"124"|2015|2|2|1|22|1|3|5|4000|0
"125"|2015|2|2|2|7|4|0|1|0|0
"126"|2015|2|2|1|31|1|2|5|6000|5000
"127"|2015|2|2|1|53|1|3|3|13000|0
"128"|2015|2|2|2|48|1|3|4|8000|0
"129"|2015|2|2|2|20|3|0|5|0|0
"130"|2015|2|2|1|13|3|0|3|0|0
